epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,23.9474,0.85548,1.08093,1.17334,0.9152,0.38941,0.42468,0.29731,1.76941,2.38817,1.51095,2.64447e-05,2.64447e-05,2.64447e-05
70,24.2737,0.85608,1.03488,1.24198,0.9152,0.38941,0.42468,0.29731,1.76941,2.38817,1.51095,2.60207e-05,2.60207e-05,2.60207e-05
71,24.6065,0.65074,0.72297,1.11452,0.9152,0.38941,0.42468,0.29731,1.76941,2.38817,1.51095,2.55731e-05,2.55731e-05,2.55731e-05
72,24.9686,0.88606,0.80579,1.1725,0.90918,0.39063,0.42451,0.29645,1.80448,2.44642,1.53926,2.5102e-05,2.5102e-05,2.5102e-05
73,25.2982,0.75237,0.96556,1.16001,0.90918,0.39063,0.42451,0.29645,1.80448,2.44642,1.53926,2.46073e-05,2.46073e-05,2.46073e-05
74,25.621,0.64721,0.82814,1.11863,0.90918,0.39063,0.42451,0.29645,1.80448,2.44642,1.53926,2.40891e-05,2.40891e-05,2.40891e-05
75,26.0027,0.87524,1.15408,1.31008,0.98314,0.35741,0.42586,0.28033,1.77955,2.39113,1.4902,2.35472e-05,2.35472e-05,2.35472e-05
76,26.327,0.71402,0.90289,1.16489,0.98314,0.35741,0.42586,0.28033,1.77955,2.39113,1.4902,2.29819e-05,2.29819e-05,2.29819e-05
77,26.6423,0.79038,0.88048,1.26905,0.98314,0.35741,0.42586,0.28033,1.77955,2.39113,1.4902,2.23929e-05,2.23929e-05,2.23929e-05
78,27.001,0.78202,0.84473,1.14888,0.97722,0.35818,0.42519,0.28805,1.77884,2.41113,1.49151,2.17805e-05,2.17805e-05,2.17805e-05
79,27.3623,0.63168,0.57868,1.01853,0.97722,0.35818,0.42519,0.28805,1.77884,2.41113,1.49151,2.11444e-05,2.11444e-05,2.11444e-05
80,27.6941,0.96832,1.04216,1.36812,0.97722,0.35818,0.42519,0.28805,1.77884,2.41113,1.49151,2.04848e-05,2.04848e-05,2.04848e-05
81,28.0644,0.65476,0.64774,1.09525,0.97062,0.36057,0.42511,0.27981,1.81037,2.43831,1.50501,1.98016e-05,1.98016e-05,1.98016e-05
82,28.3962,0.60415,0.71027,1.0709,0.97062,0.36057,0.42511,0.27981,1.81037,2.43831,1.50501,1.90949e-05,1.90949e-05,1.90949e-05
83,28.7304,0.72289,0.7293,1.11965,0.97062,0.36057,0.42511,0.27981,1.81037,2.43831,1.50501,1.83646e-05,1.83646e-05,1.83646e-05
84,29.1026,0.5218,0.56115,1.03121,0.96446,0.3618,0.42845,0.28731,1.81535,2.43383,1.5021,1.76107e-05,1.76107e-05,1.76107e-05
85,29.4315,0.60301,0.55268,1.04939,0.96446,0.3618,0.42845,0.28731,1.81535,2.43383,1.5021,1.68333e-05,1.68333e-05,1.68333e-05
86,29.7523,1.14148,1.42076,1.46935,0.96446,0.3618,0.42845,0.28731,1.81535,2.43383,1.5021,1.60323e-05,1.60323e-05,1.60323e-05
87,30.0735,0.81521,0.91464,1.17869,0.96446,0.3618,0.42845,0.28731,1.81535,2.43383,1.5021,1.52077e-05,1.52077e-05,1.52077e-05
88,30.4338,0.55711,0.56691,1.00839,0.92138,0.38256,0.42712,0.28737,1.82534,2.44907,1.51166,1.43596e-05,1.43596e-05,1.43596e-05
89,30.7584,0.84369,1.06399,1.20945,0.92138,0.38256,0.42712,0.28737,1.82534,2.44907,1.51166,1.34879e-05,1.34879e-05,1.34879e-05
90,31.1222,0.64874,0.72263,1.13481,0.92138,0.38256,0.42712,0.28737,1.82534,2.44907,1.51166,1.25927e-05,1.25927e-05,1.25927e-05
91,31.4829,0.73559,0.69348,1.23753,0.92138,0.38256,0.42712,0.28737,1.82534,2.44907,1.51166,1.16739e-05,1.16739e-05,1.16739e-05
92,31.8756,0.50505,0.57881,0.90505,0.9229,0.38274,0.42817,0.28748,1.83681,2.47252,1.51437,1.07315e-05,1.07315e-05,1.07315e-05
93,32.2019,0.55977,0.53226,1.05782,0.9229,0.38274,0.42817,0.28748,1.83681,2.47252,1.51437,9.76562e-06,9.76562e-06,9.76562e-06
94,32.5239,0.69903,0.75961,1.16885,0.9229,0.38274,0.42817,0.28748,1.83681,2.47252,1.51437,8.77613e-06,8.77613e-06,8.77613e-06
95,32.8492,0.74364,0.65087,1.33268,0.9229,0.38274,0.42817,0.28748,1.83681,2.47252,1.51437,7.76308e-06,7.76308e-06,7.76308e-06
96,33.197,0.57563,0.59522,1.08476,0.96043,0.36555,0.42931,0.27986,1.81959,2.49799,1.51207,6.72648e-06,6.72648e-06,6.72648e-06
97,33.5373,0.52202,0.4891,0.99476,0.96043,0.36555,0.42931,0.27986,1.81959,2.49799,1.51207,5.6663e-06,5.6663e-06,5.6663e-06
98,33.8556,0.74282,0.69839,1.35459,0.96043,0.36555,0.42931,0.27986,1.81959,2.49799,1.51207,4.58257e-06,4.58257e-06,4.58257e-06
99,34.1789,0.59227,0.59671,0.9085,0.96043,0.36555,0.42931,0.27986,1.81959,2.49799,1.51207,3.47528e-06,3.47528e-06,3.47528e-06
100,34.5747,0.43128,0.49509,0.95292,0.9563,0.36709,0.43019,0.30612,1.81306,2.55223,1.51113,2.34442e-06,2.34442e-06,2.34442e-06
