epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,25.4618,0.65877,0.67026,1.09992,0.91764,0.38838,0.42521,0.29586,1.76338,2.31486,1.47407,2.75753e-05,2.75753e-05,2.75753e-05
67,25.8294,0.62592,0.57441,1.00712,0.91764,0.38838,0.42521,0.29586,1.76338,2.31486,1.47407,2.7222e-05,2.7222e-05,2.7222e-05
68,26.2474,0.78392,0.89404,1.19039,0.91764,0.38838,0.42521,0.29586,1.76338,2.31486,1.47407,2.68451e-05,2.68451e-05,2.68451e-05
69,26.6825,0.84741,1.06526,1.16881,0.91533,0.38899,0.4257,0.29767,1.76783,2.4132,1.51023,2.64447e-05,2.64447e-05,2.64447e-05
70,27.0648,0.86531,1.04877,1.24435,0.91533,0.38899,0.4257,0.29767,1.76783,2.4132,1.51023,2.60207e-05,2.60207e-05,2.60207e-05
71,27.4213,0.64262,0.73203,1.1133,0.91533,0.38899,0.4257,0.29767,1.76783,2.4132,1.51023,2.55731e-05,2.55731e-05,2.55731e-05
72,27.8333,0.87967,0.80962,1.17055,0.91079,0.38987,0.42536,0.29713,1.79093,2.41674,1.51334,2.5102e-05,2.5102e-05,2.5102e-05
73,28.2052,0.75163,0.96878,1.15982,0.91079,0.38987,0.42536,0.29713,1.79093,2.41674,1.51334,2.46073e-05,2.46073e-05,2.46073e-05
74,28.6196,0.64539,0.82778,1.11954,0.91079,0.38987,0.42536,0.29713,1.79093,2.41674,1.51334,2.40891e-05,2.40891e-05,2.40891e-05
75,29.1049,0.87923,1.14524,1.30857,0.91058,0.39059,0.42778,0.29738,1.77459,2.39422,1.48405,2.35472e-05,2.35472e-05,2.35472e-05
76,29.4745,0.72377,0.89734,1.16583,0.91058,0.39059,0.42778,0.29738,1.77459,2.39422,1.48405,2.29819e-05,2.29819e-05,2.29819e-05
77,29.8575,0.77178,0.87543,1.25867,0.91058,0.39059,0.42778,0.29738,1.77459,2.39422,1.48405,2.23929e-05,2.23929e-05,2.23929e-05
78,30.2679,0.77314,0.86242,1.13976,0.91005,0.38974,0.42761,0.28053,1.76502,2.40463,1.48339,2.17805e-05,2.17805e-05,2.17805e-05
